,symbol,name,reportDate,fiscalDateEnding,estimate,currency
1007,BUSE,First Busey Corp,2022-04-25,2022-03-31,0.52,USD
1008,BV,BrightView Holdings Inc,2022-05-04,2022-03-31,0.16,USD
1009,BVH,Bluegreen Vacations Holding Corporation - Class A,2022-02-28,2021-12-31,0.62,USD
1011,BVS,Bioventus Inc - Class A,2022-03-23,2021-12-31,0.18,USD
1013,BW,Babcock & Wilcox Enterprises Inc,2022-03-07,2021-12-31,0.1,USD
1015,BWA,BorgWarner Inc,2022-05-03,2022-03-31,0.94,USD
1016,BWB,Bridgewater Bancshares Inc,2022-04-27,2022-03-31,0.38,USD
1018,BWFG,Bankwell Financial Group Inc,2022-04-26,2022-03-31,0.9,USD
1020,BWMX,Betterware de Mexico S.A.B. de C.V.,2022-05-04,2022-03-31,0.52,MXN
1021,BWXT,BWX Technologies Inc,2022-05-02,2022-03-31,0.73,USD
1022,BX,Blackstone Inc,2022-04-20,2022-03-31,1.23,USD
1023,BXC,Bluelinx Hldgs Inc,2022-05-02,2022-03-31,2.99,USD
1025,BXMT,Blackstone Mortgage Trust Inc - Class A,2022-04-26,2022-03-31,0.64,USD
1026,BXP,Boston Properties Inc,2022-04-25,2022-03-31,0.67,USD
1029,BY,Byline Bancorp Inc,2022-04-05,2022-03-31,0.45,USD
1030,BYD,Boyd Gaming Corp,2022-04-25,2022-03-31,1.21,USD
1043,BZH,Beazer Homes USA Inc,2022-04-27,2022-03-31,1.04,USD
1044,BZUN,Baozun Inc,2022-03-02,2021-12-31,0.14,USD
1046,C,Citigroup Inc,2022-04-14,2022-03-31,2.03,USD
1049,CAAS,China Automotive Systems Inc,2022-03-28,2021-12-31,0.06,USD
1053,CABO,Cable One Inc,2022-05-04,2022-03-31,12.39,USD
1054,CAC,Camden National Corp,2022-04-25,2022-03-31,1.02,USD
1055,CACC,Credit Acceptance Corp,2022-04-27,2022-03-31,12.01,USD
1056,CACI,Caci International Inc,2022-04-19,2022-03-31,4.76,USD
1057,CADE,Cadence Bancorporation - Class A,2022-04-19,2022-03-31,0.58,USD
1059,CAE,Cae Inc,2022-05-19,2022-03-31,0.19,USD
1060,CAG,Conagra Brands Inc,2022-04-06,2022-02-28,0.58,USD
1061,CAH,Cardinal Health Inc,2022-05-04,2022-03-31,1.53,USD
1063,CAL,Caleres Inc,2022-03-14,2022-02-28,0.67,USD
1066,CALB,California Bancorp,2022-04-28,2022-03-31,0.42,USD
1067,CALM,Cal-Maine Foods Inc,2022-03-28,2022-02-28,0.6,USD
1068,CALX,Calix Inc,2022-04-25,2022-03-31,0.19,USD
1070,CAMT,Camtek Ltd,2022-04-26,2022-03-31,0.43,USD
1072,CANG,Cango Inc,2022-03-09,2021-12-31,0.21,USD
1078,CAPL,CrossAmerica Partners LP,2022-02-28,2021-12-31,0.21,USD
1082,CAR,Avis Budget Group Inc,2022-05-02,2022-03-31,3.09,USD
1085,CARR,Carrier Global Corp,2022-04-27,2022-03-31,0.46,USD
1086,CARS,Cars.com,2022-05-04,2022-03-31,0.48,USD
